Team,Week,Opponent,Home_Away,Location
Louisville,3,Bowling Green,Home,vs
Louisville,4,Pittsburgh,Away,@
Louisville,5,Virginia,Home,vs
Louisville,6,Miami,Away,@
Louisville,7,Boston College,Home,vs
Louisville,8,Virginia Tech,Away,@
Louisville,9,California,Home,vs
Louisville,10,Clemson,Home,vs
Louisville,11,SMU,Away,@
Louisville,12,Kentucky,Home,vs
Marshall,1,Georgia,Away,@
Marshall,2,Missouri State,Home,vs
Marshall,3,Eastern Kentucky,Home,vs
Marshall,4,Middle Tennessee,Away,@
Marshall,5,Louisiana,Away,@
Marshall,6,Old Dominion,Home,vs
Marshall,7,Texas State,Home,vs
Marshall,8,Coastal Carolina,Away,@
Marshall,9,James Madison,Home,vs
Marshall,10,Georgia State,Away,@
Marshall,11,App State,Away,@
Marshall,12,Georgia Southern,Home,vs
Maryland,1,Florida Atlantic,Home,vs
Maryland,2,Northern Illinois,Home,vs
Maryland,3,Towson,Home,vs
Maryland,4,Wisconsin,Away,@
Maryland,5,Washington,Home,vs
Maryland,6,Nebraska,Home,vs
Maryland,7,UCLA,Away,@
Maryland,8,Indiana,Home,vs
Maryland,9,Rutgers,Away,@
Maryland,10,Illinois,Away,@
Maryland,11,Michigan,Home,vs
Maryland,12,Michigan State,Home,vs
Memphis,1,Chattanooga,Home,vs
Memphis,2,Georgia State,Away,@
Memphis,3,Troy,Away,@
Memphis,4,Arkansas,Home,vs
Memphis,5,Florida Atlantic,Away,@
Memphis,6,Tulsa,Home,vs
Memphis,7,UAB,Away,@
Memphis,8,South Florida,Home,vs
Memphis,9,Rice,Away,@
Memphis,10,Tulane,Home,vs
Memphis,11,East Carolina,Away,@
Memphis,12,Navy,Home,vs
Miami,1,Notre Dame,Home,vs
Miami,2,Bethune-Cookman,Home,vs
Miami,3,South Florida,Home,vs
Miami,4,Florida,Home,vs
Miami,5,Florida State,Away,@
Miami,6,Louisville,Home,vs
Miami,7,Stanford,Home,vs
Miami,8,SMU,Away,@
Miami,9,Syracuse,Home,vs
Miami,10,NC State,Home,vs
Miami,11,Virginia Tech,Away,@
Miami,12,Pittsburgh,Away,@
Miami (OH),1,Wisconsin,Away,@
Miami (OH),2,Rutgers,Away,@
Miami (OH),3,UNLV,Home,vs
Miami (OH),4,Lindenwood,Home,vs
Miami (OH),5,Northern Illinois,Away,@
Miami (OH),6,Akron,Away,@
Miami (OH),7,Eastern Michigan,Home,vs
Miami (OH),8,Western Michigan,Home,vs
Miami (OH),9,Ohio,Away,@
Miami (OH),10,Toledo,Home,vs
Miami (OH),11,Buffalo,Away,@
Miami (OH),12,Ball State,Home,vs
Michigan,1,New Mexico,Home,vs
Michigan,2,Oklahoma,Away,@
Michigan,3,Central Michigan,Home,vs
Michigan,4,Nebraska,Away,@
Michigan,5,Wisconsin,Home,vs
Michigan,6,USC,Away,@
Michigan,7,Washington,Home,vs
Michigan,8,Michigan State,Away,@
Michigan,9,Purdue,Home,vs
Michigan,10,Northwestern,Away,@
Michigan,11,Maryland,Away,@
